NOX,
X,Y
10.577367205542725,0.3526785714285694
10.946882217090067,0.5814732142857082
11.131639722863742,0.8560267857142847
11.501154734411084,1.130580357142854
11.87066974595843,1.3593749999999964
22.032332563510394,5.248883928571427
23.14087759815242,5.477678571428569
24.988452655889148,5.889508928571427
26.28175519630485,6.255580357142854
28.129330254041577,6.575892857142854
29.05311778290993,6.758928571428566
57.32101616628175,11.380580357142854
60.46189376443418,11.975446428571425
67.11316397228639,13.348214285714285
67.85219399538106,13.531249999999998
71.91685912240186,14.40066964285714
78.93764434180139,16.139508928571423
80.41570438799077,16.551339285714285
82.26327944572748,17.100446428571427
86.51270207852195,18.3359375
95.75057736720555,21.676339285714285
100.18475750577367,24.193080357142854
