CO-Data,
X,Y
11.008979474015195,46.62192393736018
11.362385179228653,43.31096196868009
11.521562077959569,37.85234899328859
11.875792533943653,34.72035794183445
12.042804564995517,30.961968680089484
12.404045402529924,29.351230425055927
22.248270600727846,5.548098434004473
23.3517871318261,5.011185682326619
25.006649553088177,4.116331096196866
26.479242054041794,3.6689038031319896
28.319673398694828,3.0425055928411666
29.240095258714003,2.7740492170022364
57.246981927648726,0.26845637583893023
60.564541902493836,0.17897091722595349
67.01615480571964,0.17897091722595349
67.93740141650945,0.08948545861297674
71.99270095567995,0.08948545861297674
78.81338982876112,0.17897091722595349
80.47237600387632,0.17897091722595349
82.31528160084125,0.08948545861297674
86.37099351539706,0.17897091722595349
95.5875833771482,0.17897091722595349
100.01195888617407,0.26845637583893023
