Fast,,Slow,
X,Y,X,Y
0.05529601665385897,2061.47859922179,0.054889428296110765,2058.3657587548637
0.05854872351585172,2086.3813229571983,0.16466828488833052,2098.8326848249026
0.1662946383193269,2111.284046692607,0.3773139959910381,2126.848249027237
0.16995393353906785,2139.2996108949415,1.1116125700856685,2148.6381322957195
0.2781064367002912,2167.315175097276,1.742231112954311,2176.653696498054
0.3874787049347628,2204.669260700389,2.4773428637644397,2204.669260700389
0.4984773266002307,2254.474708171206,3.318167587589297,2242.023346303502
0.5041695636087162,2298.0544747081713,4.1585857230564045,2276.264591439689
0.6151681852741842,2347.859922178988,4.894104062224281,2307.3929961089493
0.8314731915966309,2403.8910505836575,5.735741962764637,2350.9727626459144
1.0477781979190812,2459.922178988327,7.205558876027142,2403.8910505836575
1.2628634391682834,2506.614785992218,8.676188966005148,2463.035019455253
1.3697961772562621,2525.291828793774,10.039886317895169,2503.501945525292
1.475509150270991,2534.630350194552,11.403583669785197,2543.9688715953307
1.5812221232857215,2543.9688715953307,12.661161460302742,2571.9844357976654
1.78980195081094,2540.8560311284045,13.603633273564844,2587.5486381322958
1.8930753936791778,2531.5175097276265,14.649785118052927,2596.887159533074
1.9959422481896656,2519.0661478599222,15.381237573643316,2596.887159533074
2.200862780495143,2487.9377431906614,16.008196821292216,2596.887159533074
2.4041569593696277,2444.3579766536964,16.634749480583373,2593.7743190661477
2.608264314959607,2407.0038910505837,17.260488963159027,2584.4357976653696
2.81155849383409,2363.4241245136186,17.99072165367616,2575.0972762645915
3.0136329076353228,2310.5058365758755,18.615647959536325,2559.533073929961
3.216927086509804,2266.9260700389104,19.866720336329884,2537.7431906614784
3.4198146770265385,2220.2334630350197,21.74231243062586,2497.2762645914395
3.828842564921997,2151.7509727626457,23.82567117573155,2447.4708171206225
4.340737307327942,2070.817120622568,25.80494330125351,2400.7782101167313
4.646085163997414,2008.5603112840467,27.784215426775468,2354.0856031128405
5.057145993681617,1955.6420233463036,30.07615399940638,2301.1673151750974
5.466173881577074,1887.1595330739299,32.47299236833653,2251.36186770428
7.660937836705983,1890.272373540856,35.39107701190084,2192.217898832685
9.750801995535655,1890.272373540856,37.684235349605,2148.6381322957195
11.631679738482367,1890.272373540856,40.499046550301074,2098.8326848249026
13.303571065546107,1890.272373540856,43.106091100187435,2058.3657587548637
15.184448808492816,1890.272373540856,45.71313565007379,2017.8988326848248
17.169819759381006,1890.272373540856,48.84223965130982,1974.31906614786
19.67765674997662,1890.272373540856,51.554183997495414,1936.964980544747
21.76752090880629,1890.272373540856,54.996767622555886,1893.385214007782
32.530321326779124,1890.272373540856,59.90754180744787,1890.272373540856
44.12947399664157,1893.385214007782,62.41578538640124,1893.385214007782
59.59406218362342,1890.272373540856,65.2371020008213,1893.385214007782
75.79091600291116,1893.385214007782,72.34264014084219,1893.385214007782
94.91317305620268,1893.385214007782,79.03020544909717,1893.385214007782
96.05568634147728,1840.4669260700389,84.67283867793729,1893.385214007782
97.40637286591934,1781.3229571984436,94.91317305620268,1893.385214007782
98.86155259830288,1722.1789883268484,95.95159972189356,1843.579766536965
100.00609882536622,1684.8249027237352,97.09451959552588,1793.7743190661479
,,98.54969932790941,1734.6303501945526
,,99.90160561742475,1684.8249027237352
