NOxx,NOxy,COx,COy
10.997876857749477,3.5985626283367544,10.658174097664542,46.68041237113402
10.997876857749477,3.814168377823407,10.828025477707005,43.298969072164944
11.337579617834397,3.993839835728952,11.16772823779193,37.855670103092784
11.677282377919322,4.137577002053391,11.50743099787686,34.72164948453608
12.016985138004248,4.2813141683778255,11.847133757961783,30.92783505154639
12.18683651804671,4.389117043121146,11.847133757961783,29.36082474226804
22.208067940552024,7.766940451745381,22.038216560509554,5.525773195876283
23.227176220806793,8.01848049281314,23.057324840764338,5.03092783505155
25.095541401273888,8.37782340862423,24.92569002123142,4.123711340206178
26.28450106157113,8.62936344969199,26.284501061571124,3.711340206185568
28.15286624203822,8.95277207392197,28.15286624203822,3.0515463917525736
29.171974522292995,9.132443531827512,29.00212314225053,2.804123711340196
57.19745222929936,13.013347022587268,57.02760084925691,0.2474226804123631
60.424628450106155,13.552361396303905,60.424628450106155,0.2474226804123631
67.04883227176221,14.666324435318275,67.04883227176221,0.1649484536082468
67.89808917197452,14.81006160164271,67.89808917197453,0.1649484536082468
71.97452229299363,15.600616016427104,71.97452229299363,0.1649484536082468
78.9384288747346,17.073921971252567,78.93842887473461,0.1649484536082468
80.2972399150743,17.397330595482547,80.29723991507431,0.1649484536082468
82.33545647558385,17.90041067761807,82.33545647558387,0.1649484536082468
86.41188959660298,18.906570841889117,86.41188959660298,0.1649484536082468
95.58386411889596,21.781314168377826,95.58386411889596,0.2474226804123631
100.0,23.937371663244356,100.0,0.3298969072164937
