slow,,fast,
X,Y,X,Y
0,1755.8929385323843,0,1755.8929385323843
0,1793.6882141229353,0.19960079840319356,1686.5890266710676
0.19960079840319356,1825.1717038364218,0.3992015968063862,1623.5843274081758
0.3992015968063862,1856.6551935499083,0.7984031936127751,1516.4725666776685
0.7984031936127751,1862.9292595910542,1.397205588822355,1409.3482326685214
1.397205588822355,1850.2931145582852,1.9960079840319365,1321.12153645465
2.5948103792415163,1806.1231866974713,2.794411177644709,1201.386203970013
4.1916167664670665,1743.0304744841028,3.7924151696606776,1087.9375108051613
6.586826347305389,1660.9898313609003,5.389221556886226,980.7503104028167
10.179640718562872,1553.6768981721598,11.576846307385228,980.36053876499
14.37125748502994,1446.3262451475005,60.07984031936129,977.3052320555742
20.55888223552894,1326.251434139595,95.00998003992015,975.1049082936491
24.75049900199601,1262.995269303912,96.6067864271457,943.5082590724066
29.74051896207585,1199.6888113536709,98.60279441117764,905.5872506954597
35.72854291417166,1130.0202744118064,100,886.601599949707
40.51896207584831,1085.6240275354803,,
46.506986027944116,1041.152340987317,,
53.293413173652695,996.630361324595,,
54.89021956087824,990.2305624970533,,
57.68463073852296,983.7553239976742,,
66.66666666666667,983.1895264588935,,
95.00998003992015,981.4041208920744,,
96.6067864271457,943.5082590724066,,
98.60279441117764,905.5872506954597,,
99.8003992015968,886.6141732283465,,
